fnorm_error,s_min_AFT,s_min_NN,cond_AFT,cond_NN,Om
0.0135267432428115,10000000,9777677.0592346,1,1.02586018745417,134
0.0135267432428115,10000000,9777677.0592346,1,1.02586018745417,134.0000134
0.0135278793730109,10000000,9778219.54294381,1,1.0258730651959,134
0.0135278793730109,10000000,9778219.54294381,1,1.0258730651959,134.0000134
0.013527943269218,10000000,9778218.47182906,1,1.02587332872445,134
0.013527943269218,10000000,9778218.47182906,1,1.02587332872445,134.0000134
0.0135220057608504,10000000,9777760.02598834,1,1.02584179207252,139
0.0135220057608504,10000000,9777760.02598834,1,1.02584179207252,139.0000139
0.013521845025568,10000000,9777751.32211314,1,1.02584110141241,139
0.013521845025568,10000000,9777751.32211314,1,1.02584110141241,139.0000139
0.0135219081882333,10000000,9777750.15261356,1,1.02584122769146,139
0.0135219081882333,10000000,9777750.15261356,1,1.02584122769146,139.0000139
0.013515030792644,10000000,9777289.5710279,1,1.02580822698139,144
0.013515030792644,10000000,9777289.5710279,1,1.02580822698139,144.0000144
0.0135149044090494,10000000,9777280.06185579,1,1.02580766686466,144
0.0135149044090494,10000000,9777280.06185579,1,1.02580766686466,144.0000144
0.0135148968550921,10000000,9777280.21727222,1,1.02580767256501,144
0.0135148968550921,10000000,9777280.21727222,1,1.02580767256501,144.0000144
0.0135075522710895,10000000,9776809.0936571,1,1.02577455789006,149
0.0135075522710895,10000000,9776809.0936571,1,1.02577455789006,149.0000149
0.01350751072739,10000000,9776798.38354713,1,1.02577415527065,149
0.01350751072739,10000000,9776798.38354713,1,1.02577415527065,149.0000149
0.0135074376440532,10000000,9776800.24103648,1,1.02577384532407,149
0.0135074376440532,10000000,9776800.24103648,1,1.02577384532407,149.0000149
0.0134992703563525,10000000,9776323.95517155,1,1.02574080932207,154
0.0134992703563525,10000000,9776323.95517155,1,1.02574080932207,154.0000154
0.0134990645196843,10000000,9776316.92232755,1,1.02574009319845,154
0.0134990645196843,10000000,9776316.92232755,1,1.02574009319845,154.0000154
0.0134990861026226,10000000,9776317.04703964,1,1.02574002753848,154
0.0134990861026226,10000000,9776317.04703964,1,1.02574002753848,154.0000154
0.0134901828958515,10000000,9775837.2417923,1,1.02570795573044,159
0.0134901828958515,10000000,9775837.2417923,1,1.02570795573044,159.0000159
0.0134900709577046,10000000,9775827.91036439,1,1.02570754894441,159
0.0134900709577046,10000000,9775827.91036439,1,1.02570754894441,159.0000159
0.013490091878276,10000000,9775827.73990272,1,1.0257074245403,159
0.013490091878276,10000000,9775827.73990272,1,1.0257074245403,159.0000159
0.0134802893203966,10000000,9775347.66709133,1,1.02567706533743,164
0.0134802893203966,10000000,9775347.66709133,1,1.02567706533743,164.0000164
0.0134801768762479,10000000,9775338.55623166,1,1.0256767584245,164
0.0134801768762479,10000000,9775338.55623166,1,1.0256767584245,164.0000164
0.0134801738520684,10000000,9775339.05095083,1,1.02567680584714,164
0.0134801738520684,10000000,9775339.05095083,1,1.02567680584714,164.0000164
0.0134695301670016,10000000,9774860.00497119,1,1.0256503172344,169
0.0134695301670016,10000000,9774860.00497119,1,1.0256503172344,169.0000169
0.0134695121899242,10000000,9774848.52241225,1,1.0256503503406,169
0.0134695121899242,10000000,9774848.52241225,1,1.0256503503406,169.0000169
0.0134695039067021,10000000,9774848.3795558,1,1.02565021332114,169
0.0134695039067021,10000000,9774848.3795558,1,1.02565021332114,169.0000169
0.0134581232150814,10000000,9774369.52993247,1,1.02562981859358,174
0.0134581232150814,10000000,9774369.52993247,1,1.02562981859358,174.0000174
0.0134578736182852,10000000,9774362.93920946,1,1.02562934662807,174
0.0134578736182852,10000000,9774362.93920946,1,1.02562934662807,174.0000174
0.0134579231936433,10000000,9774361.88558526,1,1.02562956132797,174
0.0134579231936433,10000000,9774361.88558526,1,1.02562956132797,174.0000174
0.013445860338324,10000000,9773880.99272121,1,1.02561835001912,179
0.013445860338324,10000000,9773880.99272121,1,1.02561835001912,179.0000179
0.0134456503718712,10000000,9773875.04968707,1,1.02561815986628,179
0.0134456503718712,10000000,9773875.04968707,1,1.02561815986628,179.0000179
0.0134456565526966,10000000,9773875.09020977,1,1.02561825361855,179
0.0134456565526966,10000000,9773875.09020977,1,1.02561825361855,179.0000179
0.0134328657944618,10000000,9773398.00884697,1,1.02561952683874,184
0.0134328657944618,10000000,9773398.00884697,1,1.02561952683874,184.0000184
0.0134326725493742,10000000,9773390.00062303,1,1.02561991820135,184
0.0134326725493742,10000000,9773390.00062303,1,1.02561991820135,184.0000184
0.0134327010825082,10000000,9773389.24233347,1,1.02561985163174,184
0.0134327010825082,10000000,9773389.24233347,1,1.02561985163174,184.0000184
0.0134190858500109,10000000,9772921.10123348,1,1.02563724974049,189
0.0134190858500109,10000000,9772921.10123348,1,1.02563724974049,189.0000189
0.0134187902294787,10000000,9772915.29408288,1,1.02563737603365,189
0.0134187902294787,10000000,9772915.29408288,1,1.02563737603365,189.0000189
0.0134187658792052,10000000,9772915.81866542,1,1.02563726427471,189
0.0134187658792052,10000000,9772915.81866542,1,1.02563726427471,189.0000189
0.0134047391653003,10000000,9772448.46326898,1,1.02567500534329,194
0.0134047391653003,10000000,9772448.46326898,1,1.02567500534329,194.0000194
0.0134045586418782,10000000,9772441.31037018,1,1.02567603077254,194
0.0134045586418782,10000000,9772441.31037018,1,1.02567603077254,194.0000194
0.0134045367404003,10000000,9772441.63394707,1,1.02567580920667,194
0.0134045367404003,10000000,9772441.63394707,1,1.02567580920667,194.0000194
0.0133898409246148,10000000,9771984.04482165,1,1.02573576133862,199
0.0133898409246148,10000000,9771984.04482165,1,1.02573576133862,199.0000199
0.0133896951534001,10000000,9771976.28181952,1,1.02573684572915,199
0.0133896951534001,10000000,9771976.28181952,1,1.02573684572915,199.0000199
0.0133896985038939,10000000,9771976.05999882,1,1.02573678018612,199
0.0133896985038939,10000000,9771976.05999882,1,1.02573678018612,199.0000199
0.0133745459886801,10000000,9771527.02073795,1,1.02582062506597,204
0.0133745459886801,10000000,9771527.02073795,1,1.02582062506597,204.0000204
0.0133744385916918,10000000,9771518.94762577,1,1.02582206834895,204
0.0133744385916918,10000000,9771518.94762577,1,1.02582206834895,204.0000204
0.0133743860942255,10000000,9771519.81927712,1,1.02582185108107,204
0.0133743860942255,10000000,9771519.81927712,1,1.02582185108107,204.0000204
0.0133588730120837,10000000,9771083.35249593,1,1.02592848632773,209
0.0133588730120837,10000000,9771083.35249593,1,1.02592848632773,209.0000209
0.0133587529804392,10000000,9771076.2224021,1,1.02593000455635,209
0.0133587529804392,10000000,9771076.2224021,1,1.02593000455635,209.0000209
0.0133587793306495,10000000,9771075.74292974,1,1.02593019827901,209
0.0133587793306495,10000000,9771075.74292974,1,1.02593019827901,209.0000209
0.0133431403769021,10000000,9770651.28343466,1,1.02605801913465,214
0.0133431403769021,10000000,9770651.28343466,1,1.02605801913465,214.0000214
0.0133428868246587,10000000,9770646.90807865,1,1.02606002082157,214
0.0133428868246587,10000000,9770646.90807865,1,1.02606002082157,214.0000214
0.013342937102739,10000000,9770645.19935978,1,1.02606011571166,214
0.013342937102739,10000000,9770645.19935978,1,1.02606011571166,214.0000214
0.0133275190926224,10000000,9770230.6368508,1,1.02620760117365,219
0.0133275190926224,10000000,9770230.6368508,1,1.02620760117365,219.0000219
0.0133273553781069,10000000,9770225.24081234,1,1.02620970694554,219
0.0133273553781069,10000000,9770225.24081234,1,1.02620970694554,219.0000219
0.0133273802111901,10000000,9770224.5945551,1,1.02620982866729,219
0.0133273802111901,10000000,9770224.5945551,1,1.02620982866729,219.0000219
0.0133122191063049,10000000,9769825.44409324,1,1.02637423396643,224
0.0133122191063049,10000000,9769825.44409324,1,1.02637423396643,224.0000224
0.0133120166229235,10000000,9769820.69564458,1,1.02637628098744,224
0.0133120166229235,10000000,9769820.69564458,1,1.02637628098744,224.0000224
0.0133120308770421,10000000,9769820.29884702,1,1.02637641513116,224
0.0133120308770421,10000000,9769820.29884702,1,1.02637641513116,224.0000224
0.0132974561231948,10000000,9769437.47162921,1,1.02655634011475,229
0.0132974561231948,10000000,9769437.47162921,1,1.02655634011475,229.0000229
0.013297302852978,10000000,9769433.64793836,1,1.02655852089942,229
0.013297302852978,10000000,9769433.64793836,1,1.02655852089942,229.0000229
0.0132973782666435,10000000,9769431.73070632,1,1.0265587554833,229
0.0132973782666435,10000000,9769431.73070632,1,1.0265587554833,229.0000229
0.0132837683678426,10000000,9769065.39142041,1,1.02675220409961,234
0.0132837683678426,10000000,9769065.39142041,1,1.02675220409961,234.0000234
0.013283699212896,10000000,9769059.40242167,1,1.02675473930536,234
0.013283699212896,10000000,9769059.40242167,1,1.02675473930536,234.0000234
0.0132836069706188,10000000,9769061.50144878,1,1.02675457738543,234
0.0132836069706188,10000000,9769061.50144878,1,1.02675457738543,234.0000234
0.013271559928701,10000000,9768707.99279432,1,1.02696098286033,239
0.013271559928701,10000000,9768707.99279432,1,1.02696098286033,239.0000239
0.0132713277515379,10000000,9768706.29776953,1,1.02696333580294,239
0.0132713277515379,10000000,9768706.29776953,1,1.02696333580294,239.0000239
0.0132713349238216,10000000,9768706.35343072,1,1.026963435037,239
0.0132713349238216,10000000,9768706.35343072,1,1.026963435037,239.0000239
0.0132610577251471,10000000,9768372.54329742,1,1.02718166451254,244
0.0132610577251471,10000000,9768372.54329742,1,1.02718166451254,244.0000244
0.0132608050779096,10000000,9768373.40709179,1,1.02718402643744,244
0.0132608050779096,10000000,9768373.40709179,1,1.02718402643744,244.0000244
0.013260914695653,10000000,9768370.80581531,1,1.02718421001006,244
0.013260914695653,10000000,9768370.80581531,1,1.02718421001006,244.0000244
0.0132529915006424,10000000,9768056.11261469,1,1.02741368237002,249
0.0132529915006424,10000000,9768056.11261469,1,1.02741368237002,249.0000249
0.0132528560400519,10000000,9768053.49527197,1,1.02741620423727,249
0.0132528560400519,10000000,9768053.49527197,1,1.02741620423727,249.0000249
0.0132529242132418,10000000,9768052.71924247,1,1.02741616490695,249
0.0132529242132418,10000000,9768052.71924247,1,1.02741616490695,249.0000249
0.0132479743308731,10000000,9767757.74180475,1,1.02765711658034,254
0.0132479743308731,10000000,9767757.74180475,1,1.02765711658034,254.0000254
0.0132477707404523,10000000,9767758.4791124,1,1.02765956805587,254
0.0132477707404523,10000000,9767758.4791124,1,1.02765956805587,254.0000254
0.0132477867003075,10000000,9767758.20334935,1,1.02765935701273,254
0.0132477867003075,10000000,9767758.20334935,1,1.02765935701273,254.0000254
0.0132465912364923,10000000,9767480.50626936,1,1.02791199183876,259
0.0132465912364923,10000000,9767480.50626936,1,1.02791199183876,259.0000259
