0.776562,0.000000,0.000000
0.776562,0.000000,0.000000
0.776562,0.000000,0.000000
0.777461,0.000000,0.000000
0.777496,0.000000,0.000000
0.777496,0.000000,0.000000
0.778466,0.000000,0.000000
0.778501,0.000000,0.000000
0.778501,0.000000,0.000000
0.780581,0.000000,0.000000
0.780723,0.000000,0.000000
0.780723,0.000000,0.000000
0.783090,0.000000,0.000000
0.783235,0.000000,0.000000
0.783235,0.000000,0.000000
0.785894,0.000000,0.000000
0.786044,0.000000,0.000000
0.786044,0.000000,0.000000
0.789003,0.000000,0.000000
0.789156,0.000000,0.000000
0.789156,0.000000,0.000000
0.792423,0.000000,0.000000
0.792580,0.000000,0.000000
0.792580,0.000000,0.000000
0.796164,0.000000,0.000000
0.796327,0.000000,0.000000
0.796327,0.000000,0.000000
0.800238,0.000000,0.000000
0.800406,0.000000,0.000000
0.800406,0.000000,0.000000
0.804655,0.000000,0.000000
0.804829,0.000000,0.000000
0.804829,0.000000,0.000000
0.809429,0.000000,0.000000
0.809610,0.000000,0.000000
0.809610,0.000000,0.000000
0.814574,0.000000,0.000000
0.814762,0.000000,0.000000
0.814762,0.000000,0.000000
0.820106,0.000000,0.000000
0.820302,0.000000,0.000000
0.820302,0.000000,0.000000
0.826042,0.000000,0.000000
0.826248,0.000000,0.000000
0.826248,0.000000,-0.000000
0.832402,0.000000,-0.000000
0.832617,0.000000,0.000000
0.832617,0.000000,0.000000
0.839206,0.000000,0.000000
0.839432,0.000000,0.000000
0.839432,0.000000,0.000000
0.846478,0.000000,0.000000
0.846716,-0.000000,-0.000000
0.846716,-0.000000,0.000000
0.854243,0.000000,-0.000000
0.854495,-0.000000,-0.000000
0.854495,-0.000000,-0.000000
0.862531,-0.000000,-0.000000
0.862798,0.000000,0.000000
0.862798,-0.000000,-0.000000
0.871372,-0.000000,-0.000000
0.871655,-0.000000,-0.000000
0.871655,0.000000,-0.000000
0.880800,0.000000,-0.000000
0.881101,-0.000000,-0.000000
0.881101,-0.000000,-0.000000
0.890855,-0.000000,-0.000000
0.891176,-0.000000,-0.000000
0.891176,-0.000000,0.000000
0.901578,-0.000000,0.000000
0.901921,-0.000000,-0.000000
0.901921,-0.000000,0.000000
0.913017,-0.000000,-0.000000
0.913385,-0.000000,-0.000000
0.913385,-0.000000,-0.000000
0.925225,-0.000000,-0.000000
0.925620,-0.000000,0.000000
0.925620,-0.000000,-0.000000
0.938259,-0.000000,-0.000000
0.938685,-0.000000,-0.000000
0.938685,-0.000000,-0.000000
0.952186,-0.000000,-0.000000
0.952646,-0.000000,-0.000000
0.952646,-0.000000,-0.000000
0.967079,-0.000000,-0.000000
0.967577,-0.000000,-0.000000
0.967577,-0.000000,-0.000000
0.983021,-0.000000,-0.000000
0.983563,-0.000000,-0.000000
0.983563,-0.000000,-0.000000
1.000106,-0.000000,0.000000
1.000712,-0.000004,-0.000008
1.000728,-0.000004,-0.000008
1.020229,-0.000145,-0.000184
1.026919,0.000167,0.000448
1.027122,0.000172,0.000450
1.062363,0.001187,0.001428
1.072450,0.002641,0.001979
1.072829,0.002664,0.001976
1.139491,0.007849,0.002344
1.172289,0.012146,0.001019
1.175706,0.012389,0.000859
1.377231,0.024410,-0.014520
1.821166,0.016753,-0.055330
1.445694,0.025707,-0.021014
1.551608,0.025391,-0.031223
1.835441,0.015686,-0.053648
1.606790,0.023966,-0.035995
1.566899,0.025097,-0.032574
1.209537,0.015369,-0.000958
1.230423,0.017105,-0.002382
1.231778,0.017177,-0.002473
1.388503,0.024623,-0.016131
1.545386,0.024831,-0.030993
1.616815,0.022764,-0.036474
1.627614,0.022328,-0.037217
4.547840,-0.126740,-0.108836
2.163502,-0.001081,-0.115386
2.731344,-0.043951,-0.112125
2.461179,-0.025820,-0.098288
2.477109,-0.026780,-0.098046
2.832160,-0.076878,-0.134095
2.657160,-0.052361,-0.141590
2.653055,-0.052043,-0.141196
2.748229,-0.093513,-0.188548
2.650807,-0.068835,-0.197944
2.649682,-0.068714,-0.197835
2.575966,-0.097356,-0.263548
2.485975,-0.062675,-0.271767
2.485325,-0.062572,-0.271615
2.236774,-0.046419,-0.355828
2.146884,0.008229,-0.351188
2.147074,0.008126,-0.351025
1.727745,0.156146,-0.398754
1.665571,0.223711,-0.345353
1.667788,0.222531,-0.346365
1.201527,0.467874,0.009067
1.205251,0.425106,0.108813
1.208840,0.429435,0.099436
1.067490,-0.294285,0.347289
1.370928,-0.195777,0.150129
1.112330,-0.199989,0.438562
1.180963,-0.205319,0.379242
1.247594,-0.172891,0.362309
1.301160,-0.123667,0.375503
1.347885,-0.063886,0.389405
1.392869,0.003645,0.395642
1.420492,0.058262,0.389199
1.425825,0.062900,0.387100
2.789741,0.496821,0.587664
1.809217,0.153327,0.318325
1.920222,0.160406,0.275699
1.941571,0.160537,0.267794
1.942690,0.160594,0.267454
2.264579,0.137251,0.278369
2.133070,0.134117,0.219265
2.126060,0.133206,0.216955
2.259652,0.101177,0.207726
2.205606,0.106748,0.186738
2.202918,0.106590,0.186330
2.256051,0.080744,0.174255
2.231402,0.085327,0.164638
2.230606,0.085290,0.164518
2.248634,0.064945,0.153341
2.231644,0.068293,0.147718
2.231409,0.068286,0.147690
2.226264,0.052126,0.137886
2.216321,0.054449,0.134036
2.216146,0.054446,0.134015
2.197242,0.041090,0.125080
2.190673,0.042956,0.122503
2.190571,0.042954,0.122491
2.163641,0.031774,0.114552
2.158201,0.033252,0.112505
2.158201,0.033252,0.112505
2.124594,0.023766,0.105350
2.121233,0.024951,0.103653
2.121180,0.024951,0.103647
2.083827,0.016778,0.097151
2.081002,0.017780,0.095647
2.080968,0.017780,0.095643
2.040994,0.010650,0.089612
2.038568,0.011542,0.088306
2.038525,0.011543,0.088301
1.996667,0.005274,0.082603
1.994540,0.006095,0.081481
1.994540,0.006095,0.081481
1.951293,0.000560,0.076030
1.949516,0.001331,0.075081
1.949500,0.001331,0.075080
1.905711,-0.003565,0.069882
1.903754,-0.002831,0.069018
1.903754,-0.002831,0.069018
1.859095,-0.007157,0.063971
1.857561,-0.006453,0.063237
1.857561,-0.006453,0.063237
1.812618,-0.010269,0.058373
1.811123,-0.009581,0.057693
1.811108,-0.009581,0.057692
1.765933,-0.012935,0.052996
1.764519,-0.012250,0.052349
1.764517,-0.012250,0.052349
1.719144,-0.015185,0.047817
1.717870,-0.014486,0.047180
1.717870,-0.014486,0.047180
1.672285,-0.016999,0.042682
1.671221,-0.016310,0.042168
1.671221,-0.016310,0.042168
1.625687,-0.018433,0.037762
1.624595,-0.017732,0.037300
1.624595,-0.017732,0.037300
1.579064,-0.019498,0.033012
1.577994,-0.018759,0.032570
1.577994,-0.018759,0.032570
1.532559,-0.020147,0.028347
1.531393,-0.019393,0.027976
1.531393,-0.019393,0.027976
1.486065,-0.020370,0.023794
1.484755,-0.019629,0.023524
1.484752,-0.019629,0.023523
1.439428,-0.020233,0.019437
1.437996,-0.019461,0.019225
1.437996,-0.019461,0.019225
1.392449,-0.019659,0.015221
1.391045,-0.018872,0.015103
1.391044,-0.018872,0.015103
1.345426,-0.018734,0.011255
1.343760,-0.017846,0.011190
1.343760,-0.017846,0.011190
1.297827,-0.017281,0.007480
1.295975,-0.016361,0.007537
1.295974,-0.016359,0.007537
1.249419,-0.015293,0.004000
