a1p,a3p,b3p
0.776562145225536,0,0
0.776562145225536,0,0
0.776414408778294,-0.000482096051700414,7.5061302506057e-05
0.776414408778294,-0.000482096051700414,7.5061302506057e-05
0.776414491708918,-0.000482080640708101,7.50824858164428e-05
0.776414491708918,-0.000482080640708101,7.50824858164428e-05
0.776870369677157,-0.000486148981893714,7.37392168582928e-05
0.776870369677157,-0.000486148981893714,7.37392168582928e-05
0.776879222071336,-0.000486228404753132,7.37138348088593e-05
0.776879222071336,-0.000486228404753132,7.37138348088593e-05
0.776879236644375,-0.000486211750444433,7.36778313920946e-05
0.776879236644375,-0.000486211750444433,7.36778313920946e-05
0.777352679519154,-0.000490467273066604,7.22640738670255e-05
0.777352679519154,-0.000490467273066604,7.22640738670255e-05
0.777361770126013,-0.000490591410605195,7.22154085234291e-05
0.777361770126013,-0.000490591410605195,7.22154085234291e-05
0.777361779863602,-0.000490604401729912,7.22545855915807e-05
0.777361779863602,-0.000490604401729912,7.22545855915807e-05
0.777853246880696,-0.000495070877524085,7.07414568786948e-05
0.777853246880696,-0.000495070877524085,7.07414568786948e-05
0.777862065946901,-0.000495119786566267,7.06967904209453e-05
0.777862065946901,-0.000495119786566267,7.06967904209453e-05
0.777862159870042,-0.000495170904737434,7.06565901406036e-05
0.777862159870042,-0.000495170904737434,7.06565901406036e-05
0.778371472450655,-0.000499855013731157,6.9037785918189e-05
0.778371472450655,-0.000499855013731157,6.9037785918189e-05
0.778380419630573,-0.000499921811920226,6.90173493515358e-05
0.778380419630573,-0.000499921811920226,6.90173493515358e-05
0.778380463785861,-0.00049996084616477,6.8995098466519e-05
0.778380463785861,-0.00049996084616477,6.8995098466519e-05
0.77890754192399,-0.000504870439499089,6.72642163012632e-05
0.77890754192399,-0.000504870439499089,6.72642163012632e-05
0.778916754752033,-0.000504944224147923,6.71951152285798e-05
0.778916754752033,-0.000504944224147923,6.71951152285798e-05
0.77891670697935,-0.000504998018388349,6.72244819969933e-05
0.77891670697935,-0.000504998018388349,6.72244819969933e-05
0.779462181997283,-0.000510089718978729,6.53419936092e-05
0.779462181997283,-0.000510089718978729,6.53419936092e-05
0.779471382585752,-0.000510222071095495,6.5308111202285e-05
0.779471382585752,-0.000510222071095495,6.5308111202285e-05
0.779471380713997,-0.000510274775226164,6.52507510773784e-05
0.779471380713997,-0.000510274775226164,6.52507510773784e-05
0.780034895284651,-0.000515611770933665,6.33249145144986e-05
