freq_ratio,Q_stick,Q_free,Q_slip,Q_nl,NIT,FC
0.0999223994441673,1.26771610519285e-05,0.000157917178029987,0.000411927418913965,1.26872853197854e-05,2,3
0.103650847184621,1.26838956758694e-05,0.000159204075352886,0.000415302148950855,1.26939751895558e-05,2,3
0.107379294925075,1.26908870426442e-05,0.000160561015376789,0.000418860562908599,1.27009217418885e-05,2,3
0.114836190405983,1.27056444893094e-05,0.000163497760239383,0.000426561846175346,1.27155808357294e-05,2,3
0.129749981367799,1.27382921080645e-05,0.000170367260697687,0.000444576433310117,1.27480053421666e-05,2,3
0.144663772329615,1.27751879017939e-05,0.000178814235478442,0.000466727954850404,1.27846472544378e-05,2,3
0.159577563291431,1.28164279370715e-05,0.000189241201442244,0.000494072062982901,1.28255915609717e-05,2,3
0.174491354253247,1.28621210376852e-05,0.00020222252342867,0.000528115105242683,1.28709497610264e-05,2,3
0.189405145215063,1.29123895740474e-05,0.000218602469199327,0.00057107128850221,1.29208385183817e-05,2,3
0.204318936176879,1.29673703690586e-05,0.000239669922116786,0.000626320890494636,1.29753953575023e-05,2,3
0.219232727138695,1.30272157336618e-05,0.000267489782598563,0.000699279414635312,1.30347700597213e-05,2,3
0.234146518100511,1.30920946471889e-05,0.000305583162754361,0.00079918151840564,1.30991305134499e-05,2,3
0.249060309062327,1.31621941007959e-05,0.000360473910634052,0.000943137059831335,1.31686674485294e-05,2,3
0.263974100024143,1.32377206251142e-05,0.000445727339991661,0.00116672348329833,1.32435972278427e-05,2,3
0.278887890985959,1.33189020269508e-05,0.000594827262659841,0.00155775878271604,1.33241677798422e-05,2,3
0.293801681947775,1.34059893641757e-05,0.000917561404975532,0.00240418794944179,1.34106761188124e-05,2,3
0.308715472909591,1.34992591934328e-05,0.00204005764275114,0.00534826851916181,1.35035824669786e-05,2,3
0.323629263871407,1.35990161311071e-05,0.00293453770691649,0.00769771474730679,1.36046237717073e-05,2,3
0.338543054833223,1.37055957756583e-05,0.00102168194839591,0.00268165806707484,1.37046515468499e-05,2,3
0.353456845795039,1.38193680484964e-05,0.000585227195398646,0.0015370652842576,1.38190935126845e-05,2,3
0.368370636756855,1.39407410212487e-05,0.000402674207955149,0.00105831931682341,1.39401763218787e-05,2,3
0.383284427718671,1.40701653105271e-05,0.000303182671346591,0.000797402809557114,1.40692267254489e-05,2,3
0.398198218680487,1.42081391378287e-05,0.000240788511327837,0.000633775509358591,1.42069664566072e-05,2,3
0.413112009642303,1.43552141714573e-05,0.000198106557781059,0.000521844554953486,1.43540478922531e-05,2,3
0.428025800604119,1.45120022924886e-05,0.000167131170884825,0.000440614915498606,1.45111269250346e-05,2,3
0.442939591565935,1.46791834569553e-05,0.000143668074786365,0.000379086934035794,1.46788153793655e-05,2,3
0.457853382527751,1.48575148640378e-05,0.000125309170250468,0.000330945256963739,1.48575846089449e-05,2,3
0.472767173489567,1.50478416885584e-05,0.000110573884938174,0.000292307006848022,1.5047653696022e-05,2,3
