freq_ratio,Q_stick,Q_free,Q_slip,Q_nl,NIT,FC
0.0999223994441673,1.35223051220571e-05,0.000168444989898653,0.000422455230770671,1.35223051220608e-05,2,3
0.103650847184621,1.35294887209274e-05,0.000169817680376412,0.000425915753961386,1.35294887209274e-05,2,3
0.107379294925075,1.35369461788205e-05,0.000171265083068575,0.000429564630586296,1.35369461788242e-05,2,3
0.111107742665529,1.35446786799541e-05,0.000172790527455682,0.000433410254960305,1.35446786799568e-05,2,3
0.114836190405983,1.35526874552634e-05,0.000174397610922008,0.000437461696841505,1.35526874552607e-05,2,3
0.118564638146437,1.35609737828992e-05,0.000176090222636914,0.000441728761641447,1.35609737828985e-05,2,3
0.122293085886891,1.35695389888339e-05,0.000177872570219113,0.000446222057651764,1.3569538988838e-05,2,3
0.126021533627345,1.35783844474147e-05,0.000179749209536999,0.000450953071177542,1.35783844474162e-05,2,3
0.129749981367799,1.35875115819355e-05,0.000181725078077533,0.000455934250667886,1.35875115819317e-05,2,3
0.133478429108253,1.35969218653024e-05,0.000183805532412477,0.000461179101176894,1.35969218653019e-05,2,3
0.137206876848707,1.36066168206838e-05,0.000185996390301512,0.000466702290515124,1.36066168206793e-05,2,3
0.140935324589161,1.36165980220844e-05,0.000188303978124958,0.000472519768838517,1.36165980220906e-05,2,3
0.144663772329615,1.36268670952469e-05,0.000190735184510338,0.000478648903853242,1.36268670952406e-05,2,3
0.148392220070069,1.36374257181038e-05,0.000193297520923926,0.000485108633581075,1.36374257181084e-05,2,3
0.152120667810523,1.36482756218159e-05,0.000195999190559375,0.00049191964004357,1.36482756218185e-05,2,3
0.155849115550977,1.36594185913037e-05,0.000198849166591417,0.000499104546558022,1.36594185913064e-05,2,3
0.159577563291431,1.36708564662096e-05,0.000201857281538393,0.000506688143041264,1.36708564662106e-05,2,3
0.163306011031885,1.36825911416498e-05,0.000205034329449876,0.00051469764364881,1.36825911416502e-05,2,3
0.167034458772339,1.36946245691539e-05,0.000208392183217991,0.000523162982544407,1.36946245691529e-05,2,3
0.170762906512793,1.3706958757449e-05,0.00021194392955468,0.000532117154209925,1.370695875745e-05,2,3
0.174491354253247,1.37195957735308e-05,0.000215704024990581,0.000541596606755795,1.37195957735334e-05,2,3
0.178219801993701,1.37325377434728e-05,0.000219688476583586,0.000551641697530774,1.37325377434721e-05,2,3
0.181948249734155,1.3745786853509e-05,0.000223915052226269,0.00056229722335789,1.37457868535032e-05,2,3
0.185676697474609,1.37593453510293e-05,0.000228403526200632,0.000573613039637735,1.37593453510292e-05,2,3
0.189405145215063,1.37732155456506e-05,0.000233175967145949,0.000585644786385945,1.37732155456437e-05,2,3
0.193133592955517,1.37873998102748e-05,0.000238257077162289,0.000598454743196839,1.37873998102776e-05,2,3
0.196862040695971,1.38019005822638e-05,0.000243674593013846,0.000612112840776707,1.38019005822707e-05,2,3
0.200590488436425,1.38167203645859e-05,0.00024945976303169,0.000626697863335003,1.38167203645817e-05,2,3
0.204318936176879,1.38318617269958e-05,0.000255647916924572,0.000642298885221161,1.3831861727e-05,2,3
0.208047383917333,1.38473273073618e-05,0.000262279150314773,0.000659016996813465,1.38473273073634e-05,2,3
0.211775831657787,1.38631198128241e-05,0.00026939915174735,0.000676967389621669,1.38631198128281e-05,2,3
0.215504279398241,1.38792420212686e-05,0.000277060208111171,0.000696281891213765,1.38792420212654e-05,2,3
0.219232727138695,1.38956967825726e-05,0.000285322434771801,0.000717112066702691,1.38956967825793e-05,2,3
0.222961174879149,1.39124870201448e-05,0.000294255291400421,0.000739633040551615,1.39124870201466e-05,2,3
0.226689622619603,1.39296157322377e-05,0.000303939463603885,0.000764048240666185,1.39296157322339e-05,2,3
0.230418070360057,1.39470859935936e-05,0.000314469217793486,0.000790595335655458,1.39470859936013e-05,2,3
0.234146518100511,1.39649009570015e-05,0.000325955373604652,0.000819553729115935,1.39649009569991e-05,2,3
0.237874965840965,1.39830638547756e-05,0.000338529091077188,0.000851254108164762,1.39830638547735e-05,2,3
0.241603413581419,1.40015780005635e-05,0.000352346745121527,0.000886090733342165,1.40015780005593e-05,2,3
0.245331861321873,1.40204467910143e-05,0.000367596268444801,0.000924537430944059,1.40204467910108e-05,2,3
0.249060309062327,1.40396737075156e-05,0.000384505504676322,0.000967168653683786,1.40396737075134e-05,2,3
0.252788756802781,1.40592623180734e-05,0.000403353353855873,0.00101468758177506,1.40592623180701e-05,2,3
0.256517204543235,1.40792162791915e-05,0.000424484858874438,0.00106796416041757,1.40792162791996e-05,2,3
0.260245652283689,1.40995393378549e-05,0.000448331952692799,0.0011280874099596,1.4099539337849e-05,2,3
0.263974100024143,1.41202353334552e-05,0.000475442495991105,0.00119643863902964,1.41202353334555e-05,2,3
0.267702547764597,1.41413081999826e-05,0.000506521721557648,0.00127479593936011,1.41413081999784e-05,2,3
0.271430995505051,1.41627619680913e-05,0.000542492696201626,0.00136548663060605,1.41627619680937e-05,2,3
0.275159443245505,1.41846007674064e-05,0.000584586731646205,0.00147161521768312,1.41846007674139e-05,2,3
0.278887890985959,1.42068288287475e-05,0.000634482413503833,0.00159741393315344,1.4206828828752e-05,2,3
0.282616338726413,1.42294504865102e-05,0.000694526321867806,0.00174879925744494,1.42294504865147e-05,2,3
0.286344786466867,1.42524701811799e-05,0.000768096499697296,0.00193428836778443,1.42524701811735e-05,2,3
0.290073234207321,1.42758924617437e-05,0.000860226741708499,0.00216657323591857,1.42758924617435e-05,2,3
0.293801681947775,1.42997219884541e-05,0.000978732165307234,0.00246535870906412,1.42997219884511e-05,2,3
0.297530129688229,1.43239635353896e-05,0.00113635372237456,0.00286276990839374,1.43239635353902e-05,2,3
0.301258577428683,1.43486219933619e-05,0.00135509599568463,0.00341429030836991,1.43486219933638e-05,2,3
0.304987025169137,1.43737023727098e-05,0.00167547899879897,0.00422209193923312,1.4373702372708e-05,2,3
0.308715472909591,1.43992098063283e-05,0.00217606148560122,0.00548427236023538,1.43992098063262e-05,2,3
0.312443920650045,1.44251495527723e-05,0.00299713291810891,0.00755464142683683,1.44251495527787e-05,2,3
0.316172368390499,1.44515269993653e-05,0.00413268403285422,0.010418397055313,1.4451526999366e-05,2,3
0.319900816130953,1.44783476656119e-05,0.00427160266305974,0.0107701377257908,1.44783476656191e-05,2,3
0.323629263871407,1.45056172065142e-05,0.00313017355404418,0.00789335059156616,1.45056172065133e-05,2,3
0.327357711611861,1.45333414160923e-05,0.00222311679367704,0.00560684676582331,1.45333414160952e-05,2,3
0.331086159352315,1.45615262311042e-05,0.00167205460376458,0.00421765612441275,1.45615262311094e-05,2,3
0.334814607092769,1.45901777347834e-05,0.00132430760002694,0.00334098683550856,1.45901777347889e-05,2,3
0.338543054833223,1.46193021607022e-05,0.00108979407828897,0.00274977019585064,1.46193021606971e-05,2,3
0.342271502573677,1.46489058968532e-05,0.000922425534301637,0.00232782444895824,1.46489058968564e-05,2,3
0.34599995031413,1.46789954898371e-05,0.000797523331124975,0.00201293685710159,1.46789954898345e-05,2,3
0.349728398054584,1.47095776491623e-05,0.000700981794908314,0.00176954756252586,1.47095776491569e-05,2,3
0.353456845795038,1.47406592517295e-05,0.000624242341758556,0.00157608042990344,1.47406592517267e-05,2,3
0.357185293535492,1.47722473464889e-05,0.000561841825645439,0.00141876277252856,1.47722473464978e-05,2,3
0.360913741275946,1.48043491592309e-05,0.000510141521804562,0.0012884212345367,1.48043491592301e-05,2,3
0.3646421890164,1.48369720975353e-05,0.000466629675956631,0.00117872355622393,1.48369720975382e-05,2,3
0.368370636756854,1.48701237559986e-05,0.000429519155152159,0.00108516426347354,1.48701237559929e-05,2,3
0.372099084497308,1.4903811921473e-05,0.000397505037701689,0.00100445355389499,1.49038119214744e-05,2,3
0.375827532237762,1.49380445787098e-05,0.000369612959758778,0.000934134977174664,1.49380445787096e-05,2,3
0.379555979978216,1.49728299160023e-05,0.000345101078398406,0.000872338281710134,1.49728299160059e-05,2,3
0.38328442771867,1.50081763312289e-05,0.000323394849436364,0.00081761498718954,1.50081763312359e-05,2,3
0.387012875459124,1.50440924379096e-05,0.000304042524962702,0.000768826191843454,1.50440924379041e-05,2,3
0.390741323199578,1.50805870716951e-05,0.000286684099530477,0.000725064284092756,1.50805870716928e-05,2,3
0.394469770940032,1.51176692969449e-05,0.000271029203193111,0.00068559720951674,1.51176692969446e-05,2,3
0.398198218680486,1.5155348413684e-05,0.000256841078749693,0.00064982807637775,1.51553484136768e-05,2,3
0.40192666642094,1.51936339646405e-05,0.000243924779525657,0.000617265401335235,1.51936339646367e-05,2,3
0.405655114161394,1.52325357427466e-05,0.00023211834758361,0.000587500869000066,1.5232535742749e-05,2,3
0.409383561901848,1.52720637988332e-05,0.000221286131318086,0.000560192485015967,1.52720637988341e-05,2,3
0.413112009642302,1.53122284495544e-05,0.00021131366163313,0.000535051658438827,1.53122284495484e-05,2,3
0.416840457382756,1.53530402857515e-05,0.000202103679033991,0.000511833185658501,1.5353040285763e-05,2,3
0.42056890512321,1.53945101811119e-05,0.000193573021369627,0.000490327404090886,1.53945101811194e-05,2,3
0.424297352863664,1.54366493010188e-05,0.000185650162558289,0.00047035398705402,1.54366493010159e-05,2,3
0.428025800604118,1.54794691119878e-05,0.000178273248943813,0.000451756993215609,1.54794691119888e-05,2,3
0.431754248344572,1.55229813912779e-05,0.000171388519899686,0.00043440088476489,1.55229813912788e-05,2,3
0.435482696085026,1.55671982369702e-05,0.000164949027787836,0.000418167300286708,1.55671982369751e-05,2,3
0.43921114382548,1.56121320784645e-05,0.000158913593180591,0.000402952420757408,1.56121320784704e-05,2,3
0.442939591565934,1.5657795687419e-05,0.000153245946438789,0.000388664805363652,1.56577956873996e-05,2,3
0.446668039306388,1.57042021889192e-05,0.00014791401804036,0.000375223602336929,1.5704202188914e-05,2,3
0.450396487046842,1.57513650735139e-05,0.000142889348405324,0.000362557061051332,1.57513650735224e-05,2,3
0.454124934787296,1.57992982093425e-05,0.000138146594465909,0.000350601288026477,1.5799298209336e-05,2,3
0.45785338252775,1.58480158549737e-05,0.000133663114933833,0.000339299201334865,1.58480158549668e-05,2,3
0.461581830268204,1.58975326727267e-05,0.000129418620038585,0.000328599647547946,1.58975326727342e-05,2,3
0.465310278008658,1.59478637426066e-05,0.000125394874330914,0.00031845665246579,1.59478637426096e-05,2,3
0.469038725749112,1.59990245767546e-05,0.000121575443422095,0.000308828782614142,1.59990245767628e-05,2,3
0.472767173489566,1.60510311344623e-05,0.000117945477267386,0.000299678598873593,1.60510311344696e-05,2,3
0.47649562123002,1.61038998380805e-05,0.000114491523966359,0.00029097218704577,1.61038998380903e-05,2,3
0.480224068970474,1.6157647589228e-05,0.000111201369229488,0.000282678753127108,1.61576475892354e-05,2,3
0.483952516710928,1.62122917861343e-05,0.000108063897423172,0.000274770272984644,1.62122917861322e-05,2,3
0.487680964451382,1.62678503413591e-05,0.000105068970938014,0.000267221188227115,1.62678503413597e-05,2,3
0.491409412191836,1.63243417005096e-05,0.000102207325085588,0.000260008141225282,1.63243417005038e-05,2,3
0.49513785993229,1.63817848617632e-05,9.94704762572534e-05,0.00025310974356759,1.63817848617556e-05,2,3
0.498866307672744,1.64401993962067e-05,9.68506414355601e-05,0.00024650637313733,1.64401993962088e-05,2,3
0.502594755413198,1.64996054691349e-05,9.43406674460935e-05,0.000240179995746456,1.64996054691391e-05,2,3
